id,name,gender
8851,Whitney Houston,1
9780,Angela Bassett,1
18284,Loretta Devine,1
51359,Lela Rochon,1
66804,Gregory Hines,2
352,Dennis Haysbert,2
87118,Michael Beach,2
34,Mykelti Williamson,2
1276777,Lamont Johnson,2
10814,Wesley Snipes,2
3392,Michael Douglas,2
516,Annette Bening,1
521,Michael J. Fox,2
8349,Martin Sheen,2
63279,Anna Deavere Smith,1
112080,Shawna Waldron,1
20767,Samantha Mathis,1
19839,David Paymer,2
3037,Richard Dreyfuss,2
42133,Nina Siemaszko,1
61980,Wendie Malick,1
78494,Beau Billingslea,2
42003,Gail Strickland,1
131642,Joshua Malina,2
43115,Clement von Franckenstein,2
4251,John Mahoney,2
43978,John Mahon,2
92808,Gabriel Jarret,0
1243,Woody Allen,2
23931,Mira Sorvino,1
1283,Helena Bonham Carter,1
1164,F. Murray Abraham,2
10560,Donald Symington,2
29545,Claire Bloom,1
3019,Olympia Dukakis,1
4688,Michael Rapaport,2
28010,David Ogden Stiers,2
5251,Jack Warden,2
27811,Peter Weller,2
1161048,Danielle Ferland,0
776,Eddie Murphy,2
32486,Allen Payne,2
66554,Kadeem Hardison,2
56902,John Witherspoon,2
47458,Zakes Mokae,2
593,Joanna Cassidy,1
6951,W. Earl Brown,2
172200,Simbi Khali,0
59153,Robin Givens,1
4587,Halle Berry,1
58563,David Alan Grier,2
10661,Grace Jones,1
78029,Martin Lawrence,2
10225,Geoffrey Holder,2
70243,Eartha Kitt,1
2632,Chris Rock,2
141823,Tisha Campbell-Martin,1
1341524,John Canada Terrell,0
7399,Ben Stiller,2
4687,Patricia Arquette,1
4939,Téa Leoni,1
21277,Mary Tyler Moore,1
21278,Alan Alda,2
18364,George Segal,2
10437,Lily Tomlin,1
16851,Josh Brolin,2
28633,Richard Jenkins,2
1989,Celia Weston,1
10694,Glenn Fitzgerald,2
1050399,Beth Ostrosky,1
149682,Cynthia Lamontagne,1
1737,David Patrick Kelly,2
175008,John Ford Noonan,2
953732,Charlet Oberly,1
167604,Nadia Dajani,1
1007,Don Creech,2
1209608,Clarke Bittner,0
1209609,Tony Kruk,0
171329,Jonathan Teague Cook,0
1209610,Steve Moreno,0
4742,Tori Davis,0
101257,Shawn Michael Howard,2
20363,Suzanne Snyder,1
4566,Alan Rickman,2
3291,Hugh Grant,2
95789,Georgina Cates,1
47754,Rita Tushingham,1
2629,Alun Armstrong,2
22109,Peter Firth,2
55643,Prunella Scales,1
30427,Nicola Pagett,1
1220073,Edward Petherbridge,2
5475,Clive Merrison,2
70881,Alan Cox,2
43131,Gerard McSorley,0
22063,James Frain,2
145875,Carol Drinkwater,1
17026,Ruth McCabe,1
201648,Patti Love,0
1244810,Hilary Reynolds,0
107729,Tom Hickey,2
26865,Brendan Conroy,0
931885,Johnny  Murphy,2
11662,Jason Lee,2
23646,Jeremy London,2
19144,Shannen Doherty,1
4174,Claire Forlani,1
880,Ben Affleck,2
16484,Joey Lauren Adams,1
12132,Michael Rooker,2
19302,Jason Mewes,2
19303,Kevin Smith,2
23648,Priscilla Barnes,1
23647,Renée Humphrey,1
824,Ethan Suplee,2
7624,Stan Lee,2
23629,Brian O'Halloran,2
20761,Sven-Ole Thorsen,2
20503,Scott Mosier,2
23633,Walt Flanagan,2
572591,Bryan Johnson,2
85,Johnny Depp,2
3084,Marlon Brando,2
6450,Faye Dunaway,1
19888,Géraldine Pailhas,1
19889,Bob Dishy,2
10768,Rachel Ticotin,1
10680,Talisa Soto,1
25214,Stephen Singer,2
25215,Джо Чампа,1
1536,Marita Geraghty,1
21544,Richard C. Sarafian,0
32391,Tresa Hughes,1
28413,Carmen Argenziano,2
1100,Arnold Schwarzenegger,2
518,Danny DeVito,2
7056,Emma Thompson,1
8924,Frank Langella,2
14699,Pamela Reed,1
106791,Aida Turturro,0
22227,Christopher Meloni,2
53570,Megan Cavanagh,1
93620,Welker White,1
19151,James Eckhouse,2
1190638,Mary Gordon Murray,0
52463,Stefan Gierasch,2
101905,Monika Schnarre,1
1246316,Cassandra Wilson,0
1379079,Julie Nunis,0
1229280,Holly Wortell,0
57869,Kevin West,2
1318896,Lisa Summerour,0
52003,Kathleen Chalfant,1
77012,Michele Abrams,1
134531,Anna Gunn,1
1379101,Antoinette Peragine,1
190312,Peter Chen,0
1226857,Judy Collins,0
6937,Lawrence Tierney,2
85867,Matt Mulhern,2
11396,Maggie Han,0
82415,John Pinette,2
1379113,Christopher Pray,0
102578,Kevin Sifuentes,0
1379140,Allen Walls,0
1223828,Fred Stoller,0
1379153,Dayna Winston,0
198878,Misa Koprova,0
1144361,Tom Dugan,0
1219384,Alexander Enberg,2
1379090,Jodi Knotts,0
1235819,Mindy Seeger,1
105000,Merle Kennedy,1
1378990,Ryan Doss,0
1378995,Brianna McConnell,0
171661,Ellen McLaughlin,0
1193101,Bubba Dean Rambo,0
1378998,Brittany McConnell,0
1378991,Zachary Doss,0
1379075,Charmaine Alicia Mancil,0
100970,Dee Hengstler,0
1379080,Daryl Richardson,0
1379082,Maurice Schwartzman,0
19263,Charles McGowan,0
1379081,Jerald Vincent,0
12939,Ira Newborn,2
192268,Lawrence T. Wrentz,0
1379084,Kim Wolfe,0
1379091,Susan Dills,0
1379092,Maggy Myers Davidson,0
1379100,Steven 'Lance' Carter,0
1379096,Brandon Ross,0
1379106,Leah Teweles,0
