,id,nome
0,10194,Toy Story Collection
1,119050,Grumpy Old Men Collection
2,96871,Father of the Bride Collection
3,645,James Bond Collection
4,117693,Balto Collection
5,3167,Ace Ventura Collection
6,91698,Chili Palmer Collection
7,9435,Babe Collection
8,9818,Mortal Kombat Collection
9,136214,Pocahontas Collection
10,124935,The Lawnmower Man Collection
11,43563,Friday Collection
12,10924,From Dusk Till Dawn Collection
13,122017,Screamers Collection
14,256377,The Muppet Collection
15,91430,The Neverending Story Collection
16,14890,Bad Boys Collection
17,120794,Batman Collection
18,439053,Brooklyn Cigar Store Collection
19,8819,Casper Collection
20,9649,Mexico Trilogy
21,1570,Die Hard Collection
22,259398,Teenage Apocalypse Trilogy
23,9328,Free Willy Collection
24,286162,Power Rangers Collection
25,328073,Síť (kolekce)
26,9068,The Prophecy Collection
27,247294,Showgirls Collection
29,9887,Species Collection
30,112399,Under Siege Collection
31,23170,Burnt by the Sun Trilogy
32,123800,Before... Collection
33,182813,Clerks Collection
34,96665,Dumb and Dumber Collection
35,410261,A Goofy Movie Collection
36,217704,The Vampire Chronicles
37,10,Star Wars Collection
38,286948,Nemesis Collection
39,300546,Once were Warriors Collection
40,48188,Poison Ivy Collection
41,131,Three Colors Collection
44,144200,Swan Princess Series
45,53159,The Santa Clause Collection
46,115142,Tales from the Crypt Collection
47,115570,Star Trek: The Next Generation Collection
49,192492,The Jack Ryan Collection
50,9436,The Crow Collection
51,351684,The Flintstones (Live-Action) Collection
52,94032,The Lion King Collection
53,8581,A Nightmare on Elm Street Collection
54,43072,The Mask Collection
55,37139,Naked Gun Collection
56,167985,Richie Rich Collection
57,43064,Speed Collection
58,170452,Timecop Collection
59,261203,Street Fighter
60,439409,Fear Collection
61,8050,Highlander Collection
62,11716,Addams Family Collection
63,162028,Stakeout Collection
64,85861,Beverly Hills Cop Collection
65,150156,City Slickers Collection
66,252313,The Endless Summer Collection
68,134011,The Fugitive / U.S. Marshals Collection
69,412680,Hard Target Collection
70,52988,Hot Shots! Collection
71,159600,House Party Collection
72,328,Jurassic Park Collection
73,8580,The Karate Kid Collection
74,5547,RoboCop Collection
75,462565,The Secret Garden Collection
76,105075,The Shadow Collection
77,422837,Blade Runner Collection
78,224478,The Brady Bunch Collection
79,9888,Home Alone Collection
80,86027,Aladdin Collection
81,528,The Terminator Collection
83,9743,The Hannibal Lecter Anthology
84,153010,Beauty and the Beast Collection
85,98580,Candyman Collection
86,43058,Homeward Bound Collection
87,141086,Heavy Metal Collection
88,8917,Hellraiser Collection
89,140910,All Dogs Go to Heaven Collection
90,87359,Mission: Impossible Collection
91,169452,DragonHeart Collection
92,36694,Bloodsport Collection
93,158391,The Apu Collection
95,144146,Lemmy Caution Collection
96,143766,The Substitute Collection
97,52888,The Visitors Collection
98,23026,Ghost in the Shell Collection
99,529,Wallace & Gromit Collection
100,116661,The Arrival Collection
101,303969,"Martin Scorsese’s World Cinema Project, Vol. 1"
102,424202,Trainspotting Collection
103,304378,Independence Day Collection
104,97456,The Hunchback of Notre Dame Collection
105,86028,The Nutty Professor Collection
109,115838,Escape From ... Collection
