,idDiretor,idFilme
0,2178,31357
1,3026,9087
2,1243,11448
3,5140,12158
4,68215,11066
5,17883,2074
6,10723,22279
7,19303,2293
8,25210,1909
9,8858,6280
10,5065,17402
11,6495,63020
12,12962,2064
13,3045,236
14,24,13
15,10723,712
16,56106,10879
17,26713,854
18,5174,9024
19,9248,858
20,15106,10442
21,15810,812
22,15811,812
23,1201,114
24,24318,40001
25,4499,9327
26,12833,11363
27,32983,3573
28,4037,10478
29,13284,872
30,13294,872
31,13980,2769
32,1927,164
33,2662,3078
34,3146,284
35,3146,239
36,13284,4808
37,3146,6620
38,10001,804
39,2428,1859
40,30165,3080
41,20412,2897
42,11694,10218
43,1243,11561
44,6201,10409
45,3026,2493
46,1243,703
47,1524,137
48,648,10644
49,3026,639
50,14911,21539
51,37626,12709
52,56755,9037
53,11649,9390
54,15810,11970
55,15811,11970
56,3045,8874
57,58463,9413
58,19303,2255
59,7791,10215
60,138,184
61,11218,9410
62,94155,25719
63,57370,11003
64,3388,2898
65,55476,17127
66,56714,58680
67,8858,6068
68,13615,15037
69,13614,15037
70,1884,1389
71,22461,9464
72,7395,544
73,7396,544
74,2662,34106
75,32765,5769
76,1243,10849
77,6159,2619
78,17167,9454
79,2087,16081
80,11505,15144
81,70777,33644
82,3388,12626
83,5342,3525
84,16294,2321
85,1243,11337
86,2163,46889
87,24318,10466
88,15002,12257
89,21819,10303
90,24,9326
91,9248,9489
92,1776,10013
93,64815,10314
94,28904,11622
95,3191,15256
96,18320,1641
97,40243,4951
98,1215,11355
99,88060,39964
100,40439,4927
101,7017,509
102,56710,24137
103,3288,2105
104,3289,2105
105,51866,16158
106,19228,1812
107,1201,4806
108,29009,21185
109,1524,11153
110,14911,2280
111,77076,14578
112,79656,14429
113,57383,9346
114,3026,12220
115,143561,73969
116,39819,21349
117,3974,1850
118,95818,29076
119,13848,901
120,65134,47816
121,4037,287
122,1927,918
123,6729,61178
124,4759,1496
125,4081,1879
126,161858,16222
127,11834,13346
128,3224,243
129,18854,34322
130,5149,2621
131,122944,13665
132,71947,14736
133,13581,889
134,34481,10564
135,11181,51333
136,64815,10571
137,13426,12107
138,48980,6282
139,88967,22597
140,6737,1597
141,1524,1636
142,5306,392
143,17698,3981
144,23393,10937
145,54590,12919
146,62043,10019
147,54050,24940
148,17494,10878
149,1704,6073
150,237884,82103
151,24318,4587
152,50942,10646
153,9158,634
154,66960,10956
155,36804,24113
156,2226,9576
157,52112,10808
158,8500,15875
159,5342,19382
160,4610,9602
161,13524,45225
162,22669,2210
163,57434,9494
164,1213162,183
165,1201,9880
166,7409,2770
167,53178,26602
168,53177,20857
169,12833,31016
170,36804,9778
171,8246,3172
172,14911,11091
173,7395,9889
174,7396,9889
175,10001,16085
176,2419,194
177,108689,50819
178,5572,31674
179,113641,20009
180,57691,17130
181,1884,15186
182,68573,11452
183,11873,11812
184,54644,8346
185,18356,16643
186,7190,28117
187,3224,11240
188,3288,245
189,3289,245
190,66222,15417
191,32593,2022
192,56539,50035
193,17046,39141
194,61069,9962
195,68215,12771
196,67795,11013
197,17167,11529
198,51866,37964
199,4762,8051
200,956,12779
201,83198,73247
202,14995,41280
203,80215,13497
204,39819,7303
205,18323,2642
206,1461,4912
207,58059,9582
208,18281,9919
209,13848,2984
210,6220,455
211,66777,42618
212,108217,31633
213,59026,10720
214,17520,1555
215,64815,31246
216,3026,17813
217,14227,43039
218,3146,5185
219,54584,8273
220,63713,19053
221,13294,14030
222,84047,19064
223,21217,22309
224,6980,321
225,8482,37672
226,1223,11775
227,7018,508
228,27444,2612
229,1614,9261
230,18738,20325
231,21305,3062
232,21311,34456
233,17698,6964
234,80307,14844
235,17871,5966
236,56381,17258
237,36797,13476
238,69737,15708
239,13426,1824
240,4780,338
241,77269,16941
242,19303,9541
243,17046,10096
244,7791,11141
245,987282,44807
246,1201,4599
247,73832,12657
248,1201,10780
249,3776,31522
250,5367,401
251,42274,14846
252,1201,11130
253,33315,11823
254,36804,4380
255,64151,15566
256,13235,9675
257,20237,9801
258,47399,18973
259,21506,25209
260,133259,11558
261,38774,54407
262,1524,26555
263,59023,34376
264,6737,693
265,19450,39472
266,13581,11637
267,51600,6961
268,17167,8488
269,70777,11638
270,62116,14177
271,7395,11431
272,7396,11431
273,54584,9981
274,36797,4379
275,7312,11451
276,9248,9722
277,47773,38731
278,42994,9522
279,17520,1826
280,70738,11648
281,4429,308
