idColecao,custo,idFilme,lancamento,bilheteria,duracao,titulo,nota
,55000000.0,13,1994-07-06,677945399.0,142.0,Forrest Gump,8.2
458558.0,52000000.0,11631,2008-07-03,609841637.0,108.0,Mamma Mia!,6.4
,60720000.0,381890,2016-02-08,553810228.0,93.0,The Mermaid,6.2
51509.0,80000000.0,693,2004-12-22,516642939.0,115.0,Meet the Fockers,6.1
86027.0,28000000.0,812,1992-11-25,504050219.0,90.0,Aladdin,7.4
,14000000.0,114,1990-03-23,463000000.0,119.0,Pretty Woman,7.0
,30000000.0,313369,2016-11-29,445435700.0,128.0,La La Land,7.9
50457.0,65000000.0,4564,2008-05-12,415252786.0,145.0,Sex and the City,6.0
,70000000.0,3981,2000-12-15,374111707.0,127.0,What Women Want,6.1
,23000000.0,544,1998-07-15,369884651.0,119.0,There's Something About Mary,6.5
389767.0,5000000.0,8346,2002-02-22,368744044.0,95.0,My Big Fat Greek Wedding,6.2
,70000000.0,8488,2005-02-10,368100420.0,118.0,Hitch,6.3
,42000000.0,509,1999-05-13,363889678.0,124.0,Notting Hill,7.0
43072.0,23000000.0,854,1994-07-29,351583407.0,101.0,The Mask,6.6
,85000000.0,4523,2007-11-20,340487652.0,107.0,Enchanted,6.6
51509.0,55000000.0,1597,2000-10-06,330444045.0,108.0,Meet the Parents,6.6
,35000000.0,350,2006-06-30,326551094.0,109.0,The Devil Wears Prada,7.0
,40000000.0,18240,2009-06-01,317375031.0,108.0,The Proposal,6.7
,50000000.0,2898,1997-12-19,314178011.0,139.0,As Good as It Gets,7.2
51509.0,100000000.0,39451,2010-12-21,310650585.0,98.0,Little Fockers,5.5
,70000000.0,4806,1999-07-30,309457509.0,116.0,Runaway Bride,5.8
,38000000.0,8874,1997-06-19,299288605.0,105.0,My Best Friend's Wedding,6.4
9521.0,7500000.0,9494,1989-10-12,296000000.0,93.0,Look Who's Talking,5.8
,39000000.0,9602,1988-06-28,288752301.0,116.0,Coming to America,6.5
,32500000.0,55721,2011-04-28,288383523.0,125.0,Bridesmaids,6.5
50457.0,100000000.0,37786,2010-05-26,288347692.0,146.0,Sex and the City 2,5.5
2806.0,30000000.0,2770,2001-08-10,287553595.0,108.0,American Pie 2,6.0
,40000000.0,9522,2005-07-14,285176741.0,119.0,Wedding Crashers,6.4
8936.0,25000000.0,634,2001-04-13,281929795.0,97.0,Bridget Jones's Diary,6.6
,50000000.0,9390,1996-12-06,273552592.0,139.0,Jerry Maguire,6.7
,80000000.0,6964,2003-12-12,266728738.0,128.0,Something's Gotta Give,6.3
,6000000.0,712,1994-03-09,254700832.0,117.0,Four Weddings and a Funeral,6.6
,85000000.0,11970,1997-06-26,252712101.0,93.0,Hercules,7.3
,65000000.0,9489,1998-12-17,250821495.0,119.0,You've Got Mail,6.3
,40000000.0,508,2003-09-07,244931766.0,135.0,Love Actually,7.0
,82500000.0,9339,2006-06-22,237681299.0,107.0,Click,6.0
2806.0,11000000.0,2105,1999-07-09,235483004.0,95.0,American Pie,6.4
2806.0,55000000.0,8273,2003-08-01,231449203.0,103.0,American Wedding,6.0
,7500000.0,7326,2007-12-05,231411584.0,96.0,Juno,7.0
,21000000.0,858,1993-06-24,227799884.0,105.0,Sleepless in Seattle,6.5
,85000000.0,22897,2009-12-23,219103655.0,121.0,It's Complicated,6.2
,30000000.0,4964,2007-06-01,219076518.0,129.0,Knocked Up,6.2
,52000000.0,32856,2010-02-10,216485654.0,125.0,Valentine's Day,5.7
,80000000.0,50546,2011-02-10,214918407.0,117.0,Just Go with It,6.3
,80000000.0,10202,2008-12-24,212874442.0,99.0,Bedtime Stories,5.9
,21000000.0,82693,2012-09-08,205738714.0,122.0,Silver Linings Playbook,7.0
,38000000.0,20943,2009-07-24,205298907.0,96.0,The Ugly Truth,6.4
,52000000.0,9767,2006-06-01,204999686.0,106.0,The Break-Up,5.6
,40000000.0,193610,2014-04-16,196781193.0,109.0,The Other Woman,6.2
,75000000.0,1824,2004-02-13,196482882.0,99.0,50 First Dates,6.6
,85000000.0,1581,2006-12-08,194168700.0,136.0,The Holiday,6.7
,85000000.0,3563,2007-07-12,186072214.0,115.0,I Now Pronounce You Chuck & Larry,5.8
,17000000.0,2064,1995-04-21,182057016.0,103.0,While You Were Sleeping,6.5
,30000000.0,11529,2002-09-26,180622424.0,108.0,Sweet Home Alabama,6.1
,50000000.0,9919,2003-02-07,177371441.0,116.0,How to Lose a Guy in 10 Days,6.3
,40000000.0,10184,2009-02-06,177259441.0,129.0,He's Just Not That Into You,6.2
,21000000.0,9576,1982-12-16,177200000.0,116.0,Tootsie,6.9
3169.0,70000000.0,10808,2001-06-22,176104344.0,87.0,Dr. Dolittle 2,4.9
